kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
11127479,K02792.01,Kepler-1349 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,CENT_SATURATED,2.128216210,132.4805500,2454965.481,0,,0.0980,3.14600,,2.5900e+01,0.004636,0.58726,LS+MCMC,0.70,0.0341,88.92,1668.0,1831.55,5.200000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2865,0.3671,q1_q17_dr25_koi,6.2858310,17.5642720,22.10,1,498,1,q1_q17_dr25_tce,11111110111011101000000000000000,0.37450,Mandel and Agol (2002 ApJ 580 171),,,011/011127/011127479/dv/kplr011127479-20160209194854_dvr.pdf,011/011127/011127479/dv/kplr011127479-001-20160209194854_dvs.pdf,5952.00,4.227,0.1800,1.3770,1.1680,,q1_q17_dr25_stellar,286.338350,48.744099,11.126,11.505,11.074,10.963,10.943,10.072,9.818,9.761,0.002,19.089267000,48.74399000,1.53000,-0.40000,-3.100000e-05,2.200000e-05,0.0400,-0.5400,0.5400,0.3300,-0.0400,0.3300
5428668,K02794.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,1,0,1,0,q1_q17_dr25_sup_koi,MOD_NONUNIQ_ALT---CENT_RESOLVED_OFFSET---HALO_GHOST,0.703399912,131.6592900,2454964.659,0,,0.3930,0.82300,,5.3140e+02,0.021683,9.08068,LS+MCMC,2.15,0.0155,86.36,2013.0,3879.31,6.190000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2916,0.3447,q1_q17_dr25_koi,3.4269640,16.1238200,32.00,1,1419,1,q1_q17_dr25_tce,01110111011101110000000000000000,1.00000,Mandel and Agol (2002 ApJ 580 171),,,005/005428/005428668/dv/kplr005428668-20160209194854_dvr.pdf,005/005428/005428668/dv/kplr005428668-001-20160209194854_dvs.pdf,5955.00,4.520,-0.1600,0.9100,0.9990,,q1_q17_dr25_stellar,284.444700,40.693508,15.728,16.219,15.674,15.517,15.435,14.493,14.174,14.001,0.000,18.962806000,40.69205000,-7.13000,-5.26000,2.940000e-03,2.200000e-03,-5.1000,-3.3900,6.1200,-5.1000,-3.4200,6.1400
5041569,K02795.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0240,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---CENT_FEW_DIFFS,2.535502300,132.2005400,2454965.201,0,,0.9650,7.18900,,3.5460e+02,0.022452,0.00712,LS+MCMC,2.70,0.0385,44.06,1477.0,1127.68,1.343000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3024,0.3288,q1_q17_dr25_koi,4.0670114,15.2842700,37.60,1,456,1,q1_q17_dr25_tce,00011111111111111000000000000000,0.85020,Mandel and Agol (2002 ApJ 580 171),,,005/005041/005041569/dv/kplr005041569-20160209194854_dvr.pdf,005/005041/005041569/dv/kplr005041569-001-20160209194854_dvs.pdf,6268.00,4.429,0.0700,1.1000,1.1880,,q1_q17_dr25_stellar,298.853610,40.131088,15.273,15.770,15.235,15.059,14.983,14.174,13.869,13.774,0.000,19.923498000,40.12971000,-3.16000,-4.97000,6.800000e-04,7.500000e-04,0.2000,0.3600,0.4300,0.3000,0.3200,0.4500
10604521,K02797.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,0.868122253,131.8321200,2454964.832,0,,0.0060,1.54710,,2.3130e+02,0.013923,2.11791,LS+MCMC,1.65,0.0188,89.92,2047.0,4163.14,4.386000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2826,0.3729,q1_q17_dr25_koi,5.2245793,15.9584820,23.20,1,1303,1,q1_q17_dr25_tce,00011111111111111000000000000000,0.79210,Mandel and Agol (2002 ApJ 580 171),,,010/010604/010604521/dv/kplr010604521-20160209194854_dvr.pdf,010/010604/010604521/dv/kplr010604521-001-20160209194854_dvs.pdf,6116.00,4.440,0.2100,1.0840,1.1810,,q1_q17_dr25_stellar,293.683560,47.833141,15.800,16.293,15.740,15.589,15.539,14.609,14.241,14.183,0.000,19.578896000,47.83297000,-0.28000,-0.60000,8.900000e-05,-3.700000e-04,0.1300,0.7600,0.7800,-0.1500,0.2900,0.3300
9899181,K02867.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,0,1,1,q1_q17_dr25_sup_koi,HALO_GHOST---EPHEM_MATCH,1.332560553,132.0530300,2454965.053,0,,0.3700,3.31500,,3.1700e+01,0.005094,0.27213,LS+MCMC,0.40,0.0218,82.79,1249.0,574.99,2.945000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1611,0.5575,q1_q17_dr25_koi,3.5125585,20.2268220,26.10,2,1006,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.34460,Mandel and Agol (2002 ApJ 580 171),,,009/009899/009899181/dv/kplr009899181-20160209194854_dvr.pdf,009/009899/009899181/dv/kplr009899181-001-20160209194854_dvs.pdf,4947.00,4.621,-0.0600,0.7140,0.8000,,q1_q17_dr25_stellar,295.150510,46.772305,12.912,13.696,12.869,12.574,,11.072,10.576,10.475,0.006,19.676705000,46.77255000,0.13000,0.89000,-1.000000e-06,-2.700000e-05,-1.4400,-0.4000,1.5000,-1.3200,-0.6600,1.4800
9899181,K02867.02,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,INDIV_TRANS_RUBBLE_SKYE_ZUMA---LPP_DV,18.936061000,139.0725000,2454972.072,0,,0.2850,22.27000,,2.4300e+01,0.004418,0.01311,LS+MCMC,0.34,0.1279,87.40,516.0,16.70,6.287000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1611,0.5575,q1_q17_dr25_koi,4.0802320,9.4397870,14.00,2,73,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.62410,Mandel and Agol (2002 ApJ 580 171),,,009/009899/009899181/dv/kplr009899181-20160209194854_dvr.pdf,009/009899/009899181/dv/kplr009899181-002-20160209194854_dvs.pdf,4947.00,4.621,-0.0600,0.7140,0.8000,,q1_q17_dr25_stellar,295.150510,46.772305,12.912,13.696,12.869,12.574,,11.072,10.576,10.475,0.628,19.676702000,46.77231000,0.03000,0.02000,2.000000e-06,-1.300000e-05,0.2500,1.4400,1.4600,0.3600,1.1600,1.2100
8884274,K02868.01,Kepler-1374 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,10.652750540,136.0899400,2454969.090,0,,0.0510,2.68400,,7.4070e+02,0.024669,4.98044,LS+MCMC,2.20,0.0918,89.91,737.0,69.81,31.030000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2434,0.4341,q1_q17_dr25_koi,4.1289887,15.2654940,17.50,1,107,1,q1_q17_dr25_tce,00011111111111111000000000000000,0.35970,Mandel and Agol (2002 ApJ 580 171),,,008/008884/008884274/dv/kplr008884274-20160209194854_dvr.pdf,008/008884/008884274/dv/kplr008884274-001-20160209194854_dvs.pdf,5602.00,4.571,-0.1600,0.8170,0.9130,,q1_q17_dr25_stellar,291.349980,45.172272,15.970,16.536,15.908,15.727,15.608,14.649,14.196,14.129,0.947,19.423331000,45.17242000,-0.05000,0.55000,1.000000e-04,-8.000000e-05,0.3800,-0.9700,1.0400,0.3100,-0.2500,0.4000
7767162,K02869.01,Kepler-1375 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.300408180,133.5672300,2454966.567,0,,0.0080,4.46200,,9.8800e+01,0.009123,0.32701,LS+MCMC,1.43,0.0471,89.92,1543.0,1341.90,5.732000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3061,0.3279,q1_q17_dr25_koi,3.6747339,14.8018520,19.30,2,341,1,q1_q17_dr25_tce,01110111011111111000000000000000,0.98070,Mandel and Agol (2002 ApJ 580 171),,,007/007767/007767162/dv/kplr007767162-20160209194854_dvr.pdf,007/007767/007767162/dv/kplr007767162-001-20160209194854_dvs.pdf,6333.00,4.229,0.1600,1.4380,1.2790,,q1_q17_dr25_stellar,296.293550,43.403271,13.749,14.146,13.691,13.579,13.500,12.660,12.459,12.362,0.000,19.752890000,43.40356000,-0.54000,1.04000,5.900000e-05,-1.070000e-04,-0.0200,0.2800,0.2900,0.1200,0.1700,0.2100
4861791,K02870.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,0,1,1,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---EPHEM_MATCH,5.629509020,136.8607000,2454969.861,0,,0.9740,6.54200,,2.9750e+02,0.021476,0.00675,LS+MCMC,2.11,0.0619,64.27,979.0,216.41,2.240000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2676,0.3928,q1_q17_dr25_koi,3.7301984,11.6624400,14.30,1,405,1,q1_q17_dr25_tce,00011111111111111000000000000000,0.00000,Mandel and Agol (2002 ApJ 580 171),,,004/004861/004861791/dv/kplr004861791-20160209194854_dvr.pdf,004/004861/004861791/dv/kplr004861791-001-20160209194854_dvs.pdf,5822.00,4.529,-0.0600,0.8980,0.9940,,q1_q17_dr25_stellar,298.039310,39.901939,15.957,16.524,15.909,15.713,15.677,14.682,14.270,14.224,0.000,19.869552000,39.90662000,11.00000,16.90000,-2.150000e-03,-3.590000e-03,,,,,,
4385148,K02942.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.9540,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,13.843012280,139.9533400,2454972.953,0,,0.0520,4.07700,,5.6780e+02,0.021670,1.83117,LS+MCMC,1.98,0.1100,89.89,699.0,56.45,26.470000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2711,0.3858,q1_q17_dr25_koi,3.7672110,14.4957620,17.50,2,60,1,q1_q17_dr25_tce,00011011101110111000000000000000,0.02200,Mandel and Agol (2002 ApJ 580 171),,,004/004385/004385148/dv/kplr004385148-20160209194854_dvr.pdf,004/004385/004385148/dv/kplr004385148-001-20160209194854_dvs.pdf,5745.00,4.559,-0.2000,0.8370,0.9280,,q1_q17_dr25_stellar,296.264560,39.405960,15.480,16.034,15.430,15.242,15.132,14.229,13.868,13.705,0.001,19.750962000,39.40571000,-0.33000,-0.89000,-4.900000e-04,-2.900000e-04,0.6900,0.5000,0.8500,-0.4100,-0.8500,0.9400
