kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
10797460,K00752.01,Kepler-227 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,9.488035570,170.5387500,2455003.539,0,,0.1460,2.95750,,6.1580e+02,0.022344,3.20796,LS+MCMC,2.26,0.0853,89.66,793.0,93.59,24.810000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2291,0.4603,q1_q17_dr25_koi,5.1358490,28.4708200,35.80,2,142,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.68640,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-001-20160209194854_dvs.pdf,5455.00,4.467,0.1400,0.9270,0.9190,,q1_q17_dr25_stellar,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.002,19.462294000,48.14191000,0.43000,0.94000,-2.000000e-04,-5.500000e-04,-0.0100,0.2000,0.2000,0.0800,0.3100,0.3200
10797460,K00752.02,Kepler-227 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9690,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,54.418382700,162.5138400,2454995.514,0,,0.5860,4.50700,,8.7480e+02,0.027954,3.02368,LS+MCMC,2.83,0.2734,89.57,443.0,9.11,77.900000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2291,0.4603,q1_q17_dr25_koi,7.0276690,20.1095070,25.80,2,25,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.00230,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-002-20160209194854_dvs.pdf,5455.00,4.467,0.1400,0.9270,0.9190,,q1_q17_dr25_stellar,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.003,19.462265000,48.14199000,-0.63000,1.23000,6.600000e-04,-1.050000e-03,0.3900,0.0000,0.3900,0.4900,0.1200,0.5000
10811496,K00753.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.0000,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,19.899139950,175.8502520,2455008.850,0,,0.9690,1.78220,,1.0829e+04,0.154046,7.29555,LS+MCMC,14.60,0.1419,88.96,638.0,39.30,53.500000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2711,0.3858,q1_q17_dr25_koi,37.1597670,187.4491000,76.30,1,56,1,q1_q17_dr25_tce,11111101110111011000000000000000,0.66240,Mandel and Agol (2002 ApJ 580 171),,,010/010811/010811496/dv/kplr010811496-20160209194854_dvr.pdf,010/010811/010811496/dv/kplr010811496-001-20160209194854_dvs.pdf,5853.00,4.544,-0.1800,0.8680,0.9610,,q1_q17_dr25_stellar,297.004820,48.134129,15.436,15.943,15.390,15.220,15.166,14.254,13.900,13.826,0.278,19.800320700,48.13412000,-0.02100,-0.03800,7.000000e-04,6.000000e-04,-0.0250,-0.0340,0.0420,0.0020,-0.0270,0.0270
10848459,K00754.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---DEEP_V_SHAPED,1.736952453,170.3075650,2455003.308,0,,1.2760,2.40641,,8.0792e+03,0.387394,0.22080,LS+MCMC,33.46,0.0267,67.09,1395.0,891.96,3.278000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2865,0.3556,q1_q17_dr25_koi,39.0665500,541.8951000,505.60,1,621,1,q1_q17_dr25_tce,11111110111011101000000000000000,0.00000,Mandel and Agol (2002 ApJ 580 171),,,010/010848/010848459/dv/kplr010848459-20160209194854_dvr.pdf,010/010848/010848459/dv/kplr010848459-001-20160209194854_dvs.pdf,5805.00,4.564,-0.5200,0.7910,0.8360,,q1_q17_dr25_stellar,285.534610,48.285210,15.597,16.100,15.554,15.382,15.266,14.326,13.911,13.809,0.000,19.035637620,48.28521050,-0.11100,0.00200,3.020000e-03,-1.420000e-03,-0.2490,0.1470,0.2890,-0.2570,0.0990,0.2760
10854555,K00755.01,Kepler-664 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.525591777,171.5955500,2455004.596,0,,0.7010,1.65450,,6.0330e+02,0.024064,1.98635,LS+MCMC,2.75,0.0374,85.41,1406.0,926.16,8.750000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2844,0.3661,q1_q17_dr25_koi,4.7499450,33.1919000,40.90,1,515,1,q1_q17_dr25_tce,01111111111111111000000000000000,0.30900,Mandel and Agol (2002 ApJ 580 171),,,010/010854/010854555/dv/kplr010854555-20160209194854_dvr.pdf,010/010854/010854555/dv/kplr010854555-001-20160209194854_dvs.pdf,6031.00,4.438,0.0700,1.0460,1.0950,,q1_q17_dr25_stellar,288.754880,48.226200,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952,0.733,19.250325800,48.22626000,-0.01000,0.23000,8.000000e-05,-7.000000e-05,0.0300,-0.0900,0.1000,0.0700,0.0200,0.0700
10872983,K00756.01,Kepler-228 d,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,11.094320540,171.2011600,2455004.201,0,,0.5380,4.59450,,1.5175e+03,0.036779,0.67324,LS+MCMC,3.90,0.0992,88.11,835.0,114.81,16.360000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,9.0464560,55.2048650,66.50,3,95,1,q1_q17_dr25_tce,01111101110111011000000000000000,0.09750,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-001-20160209194854_dvs.pdf,6046.00,4.486,-0.0800,0.9720,1.0530,,q1_q17_dr25_stellar,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752406100,48.22471000,-0.12000,0.14000,4.000000e-05,,0.0400,-0.0700,0.0800,-0.0200,-0.0800,0.0800
10872983,K00756.02,Kepler-228 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.134435120,172.9793700,2455005.979,0,,0.7620,3.14020,,6.8600e+02,0.026133,0.37377,LS+MCMC,2.77,0.0514,83.72,1160.0,427.65,6.960000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,5.5006430,33.5466580,40.20,3,240,2,q1_q17_dr25_tce,01111101110111011000000000000000,0.54600,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-002-20160209194854_dvs.pdf,6046.00,4.486,-0.0800,0.9720,1.0530,,q1_q17_dr25_stellar,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752413000,48.22458000,0.14000,-0.32000,-1.600000e-04,,0.2500,0.0900,0.2600,0.1800,0.0600,0.1900
10872983,K00756.03,Kepler-228 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9920,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.566588970,179.5543700,2455012.554,0,,0.7550,2.42900,,2.2650e+02,0.014983,0.48909,LS+MCMC,1.59,0.0374,82.17,1360.0,807.74,5.540000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,4.3886313,12.3250940,15.00,3,355,3,q1_q17_dr25_tce,01111101110111011000000000000000,0.43520,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-003-20160209194854_dvs.pdf,6046.00,4.486,-0.0800,0.9720,1.0530,,q1_q17_dr25_stellar,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752412000,48.22476000,0.10000,0.30000,-4.000000e-05,,-0.3300,-0.3000,0.4500,-0.4100,-0.2900,0.5000
6721123,K00114.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_RESOLVED_OFFSET,7.361789580,132.2505300,2454965.251,0,,1.1690,5.02200,,2.3370e+02,0.183387,0.00485,LS+MCMC,39.21,0.0820,60.92,1342.0,767.22,2.400000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3050,0.3201,q1_q17_dr25_koi,10.9646840,46.1530800,47.70,1,185,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.72130,Mandel and Agol (2002 ApJ 580 171),,,006/006721/006721123/dv/kplr006721123-20160209194854_dvr.pdf,006/006721/006721123/dv/kplr006721123-001-20160209194854_dvs.pdf,6227.00,3.986,0.0000,1.9580,1.3580,,q1_q17_dr25_stellar,298.864350,42.151569,12.660,12.999,12.609,12.515,12.480,11.659,11.415,11.396,0.000,19.923953400,42.15826200,-13.45000,24.09000,3.032000e-03,-5.549000e-03,-4.5060,7.7100,8.9300,-4.5370,7.7130,8.9480
10910878,K00757.01,Kepler-229 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,16.068646740,173.6219370,2455006.622,0,,0.0520,3.53470,,4.9143e+03,0.062161,3.66590,LS+MCMC,5.76,0.1158,89.92,600.0,30.75,36.850000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1451,0.5820,q1_q17_dr25_koi,20.4571630,137.4498100,161.90,3,69,1,q1_q17_dr25_tce,11111110111011101000000000000000,0.18190,Mandel and Agol (2002 ApJ 580 171),,,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,010/010910/010910878/dv/kplr010910878-001-20160209194854_dvs.pdf,5031.00,4.485,0.1600,0.8480,0.8010,,q1_q17_dr25_stellar,286.999480,48.375790,15.841,16.559,15.770,15.534,15.368,14.363,13.868,13.785,0.063,19.133298900,48.37577800,0.03300,-0.04400,2.600000e-04,4.900000e-04,0.0410,-0.0150,0.0440,0.0050,0.0300,0.0310
