kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
4275739,K01317.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,DEPTH_ODDEVEN_DV---DEPTH_ODDEVEN_ALT---MOD_ODDEVEN_DV---MOD_ODDEVEN_ALT---DEEP_V_SHAPED,2.171827838,355.0836860,2455188.084,0,,1.3230,3.22050,,4.2086e+04,0.601913,0.46165,LS+MCMC,58.56,0.0322,74.22,1311.0,698.31,4.860000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2622,0.4035,q1_q17_dr25_koi,140.0197000,1758.7235000,300.60,1,395,1,q1_q17_dr25_tce,00011011101110111000000000000000,0.00000,Mandel and Agol (2002 ApJ 580 171),,,004/004275/004275739/dv/kplr004275739-20160209194854_dvr.pdf,004/004275/004275739/dv/kplr004275739-001-20160209194854_dvs.pdf,5650.00,4.513,-0.0200,0.8910,0.9440,,q1_q17_dr25_stellar,294.773930,39.333839,15.580,16.189,15.522,15.318,15.209,14.212,13.861,13.798,0.000,19.651592500,39.33391840,-0.11700,0.28240,-6.100000e-03,6.360000e-02,-0.1130,-0.2410,0.2660,-0.0390,0.0050,0.0400
7287415,K01369.01,Kepler-1745 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.016182013,133.8839500,2454966.884,0,,0.7320,2.83490,,2.2250e+02,0.014736,0.40067,LS+MCMC,2.25,0.0408,82.72,1449.0,1044.49,5.780000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2286,0.4641,q1_q17_dr25_koi,3.8950944,27.8065680,31.90,1,449,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.19480,Mandel and Agol (2002 ApJ 580 171),,,007/007287/007287415/dv/kplr007287415-20160209194854_dvr.pdf,007/007287/007287415/dv/kplr007287415-001-20160209194854_dvs.pdf,5611.00,4.144,0.1600,1.4000,0.9950,,q1_q17_dr25_stellar,293.469020,42.822411,14.878,15.368,14.831,14.668,14.595,13.723,13.398,13.323,0.565,19.564597000,42.82242000,-0.18000,0.05000,7.400000e-05,2.000000e-05,0.1400,0.0400,0.1500,0.1300,-0.0300,0.1400
6924203,K01370.01,Kepler-829 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9950,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.883376100,135.2652200,2454968.265,0,,0.0750,2.27020,,4.5840e+02,0.019546,5.22062,LS+MCMC,1.69,0.0678,89.82,857.0,127.67,23.559000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2787,0.3728,q1_q17_dr25_koi,4.5916114,24.8440320,28.10,1,193,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.28810,Mandel and Agol (2002 ApJ 580 171),,,006/006924/006924203/dv/kplr006924203-20160209194854_dvr.pdf,006/006924/006924203/dv/kplr006924203-001-20160209194854_dvs.pdf,5679.00,4.581,-0.3200,0.7940,0.8860,,q1_q17_dr25_stellar,282.332790,42.463821,14.931,15.452,14.888,14.708,14.637,13.699,13.364,13.290,0.011,18.822149000,42.46380000,-1.47000,-0.07000,5.400000e-04,-4.000000e-05,-0.2900,-0.1600,0.3300,-0.1500,-0.1200,0.1900
6878167,K01371.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,1,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_RESOLVED_OFFSET---HALO_GHOST,0.833980196,133.6830400,2454966.683,0,,0.5470,1.75600,,2.6120e+02,0.015277,0.88365,LS+MCMC,1.45,0.0170,80.13,1816.0,2562.78,3.190000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2676,0.3928,q1_q17_dr25_koi,7.6196065,19.6946600,56.90,1,802,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.08670,Mandel and Agol (2002 ApJ 580 171),,,006/006878/006878167/dv/kplr006878167-20160209194854_dvr.pdf,006/006878/006878167/dv/kplr006878167-001-20160209194854_dvs.pdf,5747.00,4.530,-0.1400,0.8710,0.9390,,q1_q17_dr25_stellar,295.876340,42.364819,14.657,15.191,14.598,14.428,14.320,13.372,13.060,12.933,0.000,19.727062000,42.36368000,78.74000,-4.11000,-1.146000e-02,5.870000e-04,6.7420,-2.7880,7.2950,6.7070,-2.9010,7.3080
6880531,K01372.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,69.627542020,176.3098622,2455009.310,,,,11.07000,,,,,none,,,,,,,,,,,,q1_q16_koi,,,,1,,,,,,,,,,,,,,,,,,296.399900,42.387100,15.384,15.899,15.339,15.163,15.069,14.124,13.882,13.732,,,,,,,,,,,,,
6863839,K01373.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,0,1,1,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,1.926353494,133.6807700,2454966.681,0,,0.7670,2.53050,,1.8510e+02,0.013594,0.31425,LS+MCMC,1.33,0.0292,78.81,1484.0,1146.34,3.950000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2979,0.3238,q1_q17_dr25_koi,4.6182823,27.8158300,36.90,1,699,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.10870,Mandel and Agol (2002 ApJ 580 171),,,006/006863/006863839/dv/kplr006863839-20160209194854_dvr.pdf,006/006863/006863839/dv/kplr006863839-001-20160209194854_dvs.pdf,6063.00,4.481,-0.5200,0.8990,0.8930,,q1_q17_dr25_stellar,292.054780,42.330250,14.618,15.064,14.586,14.426,14.358,13.495,13.153,13.078,0.000,19.470306700,42.35367000,-0.48000,84.32000,6.700000e-05,-1.343000e-02,1.8100,10.7500,10.9100,1.7700,10.7700,10.9100
7296086,K01374.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,0,1,1,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---EPHEM_MATCH,0.890737359,134.5670700,2454967.567,0,,1.1460,1.92570,,1.9580e+02,0.161113,0.05533,LS+MCMC,20.57,0.0180,30.02,2022.0,3948.43,1.324000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2602,0.4096,q1_q17_dr25_koi,5.0013156,25.0537220,37.70,1,1503,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.58470,Mandel and Agol (2002 ApJ 580 171),,,007/007296/007296086/dv/kplr007296086-20160209194854_dvr.pdf,007/007296/007296086/dv/kplr007296086-001-20160209194854_dvs.pdf,5687.00,4.293,0.1200,1.1690,0.9790,,q1_q17_dr25_stellar,295.785950,42.844280,14.624,15.224,14.573,14.367,14.266,13.384,13.004,12.899,0.000,19.719366000,42.84904000,11.94000,17.14000,-1.872000e-03,-2.696000e-03,5.0450,6.3410,8.1030,5.0070,6.1130,7.9010
11389771,K01436.03,Kepler-301 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9800,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,5.419084910,131.6422000,2454964.642,0,,0.5360,2.33790,,2.3100e+02,0.014334,2.29051,LS+MCMC,1.38,0.0593,87.99,989.0,225.71,15.260000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2711,0.3858,q1_q17_dr25_koi,3.9332454,15.0803700,20.20,3,173,3,q1_q17_dr25_tce,11111110111011101000000000000000,0.91480,Mandel and Agol (2002 ApJ 580 171),,,011/011389/011389771/dv/kplr011389771-20160209194854_dvr.pdf,011/011389/011389771/dv/kplr011389771-003-20160209194854_dvs.pdf,5814.00,4.523,-0.1800,0.8810,0.9440,,q1_q17_dr25_stellar,283.982970,49.232990,14.271,14.759,14.229,14.061,14.013,13.146,12.824,12.706,0.537,18.932178000,49.23310000,-0.71000,0.41000,6.000000e-05,-9.000000e-05,-0.6400,0.0900,0.6500,-0.8000,0.0000,0.8000
11599038,K01437.01,Kepler-1751 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.017335710,133.9059200,2454966.906,0,,0.5810,3.56700,,2.5550e+02,0.015214,0.75604,LS+MCMC,1.61,0.0712,87.34,984.0,221.46,12.530000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2965,0.3342,q1_q17_dr25_koi,3.2695124,12.5497010,15.50,3,152,1,q1_q17_dr25_tce,11111110111011101000000000000000,0.07770,Mandel and Agol (2002 ApJ 580 171),,,011/011599/011599038/dv/kplr011599038-20160209194854_dvr.pdf,011/011599/011599038/dv/kplr011599038-001-20160209194854_dvs.pdf,6052.00,4.456,-0.2600,0.9670,0.9740,,q1_q17_dr25_stellar,284.846620,49.692402,15.280,15.728,15.229,15.088,15.010,14.110,13.781,13.784,0.116,18.989799000,49.69228000,0.80000,-0.40000,-1.700000e-04,2.600000e-04,-0.2100,0.0700,0.2200,-0.3400,0.0800,0.3500
11193263,K01438.01,Kepler-848 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.911342230,136.6487800,2454969.649,0,,0.2590,5.67430,,2.0170e+02,0.012920,0.30165,LS+MCMC,1.90,0.0720,88.37,1086.0,328.65,9.130000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2600,0.4133,q1_q17_dr25_koi,5.7279250,33.1043850,44.00,1,196,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.90580,Mandel and Agol (2002 ApJ 580 171),,,011/011193/011193263/dv/kplr011193263-20160209194854_dvr.pdf,011/011193/011193263/dv/kplr011193263-001-20160209194854_dvs.pdf,5685.00,4.194,0.2400,1.3500,1.0390,,q1_q17_dr25_stellar,293.288270,48.811619,14.056,14.517,13.968,13.858,13.727,12.840,12.484,12.431,0.154,19.552556100,48.81161900,0.17000,0.00000,2.000000e-05,6.100000e-05,-0.2000,-0.4000,0.4500,-0.0800,-0.3800,0.3900
