kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
10468940,K01163.02,Kepler-273 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.015008210,134.8277000,2454967.828,0,,0.6450,3.01370,,3.6300e+02,0.018282,1.21123,LS+MCMC,2.00,0.0748,87.69,865.0,132.46,16.020000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1914,0.5167,q1_q17_dr25_koi,4.6619080,22.8597430,28.60,2,159,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.18310,Mandel and Agol (2002 ApJ 580 171),,,010/010468/010468940/dv/kplr010468940-20160209194854_dvr.pdf,010/010468/010468940/dv/kplr010468940-002-20160209194854_dvs.pdf,5359.00,4.375,0.1400,1.0020,0.8670,,q1_q17_dr25_stellar,291.302220,47.697762,14.968,15.512,14.921,14.735,14.607,13.682,13.350,13.217,0.485,19.420135000,47.69779000,-0.44000,0.13000,1.300000e-04,-1.200000e-04,-0.2900,-0.1400,0.3300,-0.3900,-0.2900,0.4900
10341831,K01164.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,0,1,1,q1_q17_dr25_sup_koi,CENT_RESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,0.933749941,133.3842200,2454966.384,0,,1.2250,6.60600,,4.1530e+02,0.246610,0.04326,LS+MCMC,12.93,0.0150,13.27,919.0,168.44,1.259000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3571,0.3543,q1_q17_dr25_koi,4.1755176,19.3503860,88.80,1,1440,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.78770,Mandel and Agol (2002 ApJ 580 171),,,010/010341/010341831/dv/kplr010341831-20160209194854_dvr.pdf,010/010341/010341831/dv/kplr010341831-001-20160209194854_dvs.pdf,3682.00,4.786,0.0700,0.4800,0.5120,,q1_q17_dr25_stellar,292.738920,47.490730,14.960,16.449,15.096,14.323,13.881,12.630,11.991,11.795,0.000,19.515817000,47.49110000,-4.07000,1.33000,4.960000e-04,-1.460000e-04,-1.3300,-0.2800,1.3500,-1.0400,-0.1200,1.0500
10337517,K01165.01,Kepler-783 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.053934488,136.3572530,2454969.357,0,,0.8990,1.72440,,5.1150e+02,0.025075,1.39386,LS+MCMC,2.36,0.0684,86.66,840.0,117.33,15.420000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1959,0.5086,q1_q17_dr25_koi,7.1649310,48.2941440,56.30,2,190,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.21420,Mandel and Agol (2002 ApJ 580 171),,,010/010337/010337517/dv/kplr010337517-20160209194854_dvr.pdf,010/010337/010337517/dv/kplr010337517-001-20160209194854_dvs.pdf,5357.00,4.498,0.0000,0.8630,0.8540,,q1_q17_dr25_stellar,291.062930,47.484798,13.916,14.420,13.871,13.699,13.617,12.705,12.342,12.287,0.189,19.404196500,47.48487200,0.02000,0.26000,-4.000000e-05,-1.100000e-04,-0.0350,-0.0400,0.0500,-0.1600,0.0500,0.1670
10337517,K01165.02,Kepler-783 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.292636990,134.8001800,2454967.800,0,,0.4540,2.70000,,6.1400e+01,0.007235,1.34519,LS+MCMC,0.68,0.0491,87.62,991.0,227.69,10.940000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1959,0.5086,q1_q17_dr25_koi,3.2288117,9.9166200,11.40,2,302,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.28280,Mandel and Agol (2002 ApJ 580 171),,,010/010337/010337517/dv/kplr010337517-20160209194854_dvr.pdf,010/010337/010337517/dv/kplr010337517-002-20160209194854_dvs.pdf,5357.00,4.498,0.0000,0.8630,0.8540,,q1_q17_dr25_stellar,291.062930,47.484798,13.916,14.420,13.871,13.699,13.617,12.705,12.342,12.287,0.731,19.404208000,47.48472000,0.40000,-0.30000,-3.300000e-05,2.200000e-05,-0.0500,0.3700,0.3700,-0.1600,0.4000,0.4700
10351231,K01166.01,Kepler-1738 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9940,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.674661400,133.2243100,2454966.224,0,,0.9390,1.93740,,5.0300e+02,0.025638,0.62777,LS+MCMC,2.80,0.0781,85.69,957.0,198.67,12.500000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2868,0.3588,q1_q17_dr25_koi,4.8333150,18.0075230,20.80,1,140,1,q1_q17_dr25_tce,11111101110111011000000000000000,0.87770,Mandel and Agol (2002 ApJ 580 171),,,010/010351/010351231/dv/kplr010351231-20160209194854_dvr.pdf,010/010351/010351231/dv/kplr010351231-001-20160209194854_dvs.pdf,6063.00,4.470,-0.0200,1.0010,1.0790,,q1_q17_dr25_stellar,296.131410,47.438820,15.440,15.941,15.399,15.225,15.191,14.247,13.960,13.851,0.000,19.742178000,47.43852000,3.07000,-1.07000,-1.550000e-03,4.500000e-04,-0.0500,-0.2000,0.2100,-0.0700,0.0400,0.0800
10485179,K01167.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,1,0,1,1,q1_q17_dr25_sup_koi,LPP_DV---MOD_NONUNIQ_DV---MOD_NONUNIQ_ALT---CENT_RESOLVED_OFFSET---EPHEM_MATCH,0.445275074,133.9713720,2454966.971,0,,0.6390,2.27600,,2.5470e+02,0.015329,0.27529,LS+MCMC,1.21,0.0106,63.33,1950.0,3419.70,1.424000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2175,0.4767,q1_q17_dr25_koi,3.2113980,8.1126070,86.30,1,1200,1,q1_q17_dr25_tce,11111101110111011000000000000000,0.99880,Mandel and Agol (2002 ApJ 580 171),,,010/010485/010485179/dv/kplr010485179-20160209194854_dvr.pdf,010/010485/010485179/dv/kplr010485179-001-20160209194854_dvs.pdf,5346.00,4.621,-0.3400,0.7250,0.8100,,q1_q17_dr25_stellar,297.133270,47.628769,14.507,15.108,14.447,14.249,14.114,13.112,12.701,12.638,0.073,19.808829000,47.62794000,-2.00000,-3.00000,6.300000e-05,9.000000e-05,-3.5200,0.1300,3.5200,-3.6900,-0.1800,3.6900
8561063,K00961.01,Kepler-42 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,1.213770423,170.4836450,2455003.484,0,,0.8300,0.55320,,1.8210e+03,0.048039,15.99013,LS+MCMC,0.78,0.0113,85.57,525.0,18.03,10.760000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.4341,0.2646,q1_q17_dr25_koi,6.3841680,70.8195500,111.40,3,1100,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.99760,Mandel and Agol (2002 ApJ 580 171),,,008/008561/008561063/dv/kplr008561063-20160209194854_dvr.pdf,008/008561/008561063/dv/kplr008561063-001-20160209194854_dvs.pdf,3292.00,5.215,-0.4200,0.1480,0.1320,,q1_q17_dr25_stellar,292.219060,44.619160,15.920,17.270,15.909,15.338,,12.177,11.685,11.465,0.000,19.481296600,44.61792300,1.01000,-4.45000,3.100000e-04,-4.300000e-04,-0.0530,-0.0310,0.0610,1.1880,-4.7600,4.9100
8561063,K00961.02,Kepler-42 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.0000,0,0,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_KIC_POS,0.453287416,133.8697410,2454966.870,0,,0.8100,0.44450,,1.4615e+03,0.046729,13.25728,LS+MCMC,0.76,0.0059,81.11,729.0,66.14,5.240000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.4341,0.2646,q1_q17_dr25_koi,4.5871810,10.4591890,150.40,3,1193,3,q1_q17_dr25_tce,11111111111111111000000000000000,0.98660,Mandel and Agol (2002 ApJ 580 171),,,008/008561/008561063/dv/kplr008561063-20160209194854_dvr.pdf,008/008561/008561063/dv/kplr008561063-003-20160209194854_dvs.pdf,3292.00,5.215,-0.4200,0.1480,0.1320,,q1_q17_dr25_stellar,292.219060,44.619160,15.920,17.270,15.909,15.338,,12.177,11.685,11.465,0.000,19.481313000,44.61820000,1.66000,-3.47000,-1.300000e-04,-3.800000e-04,-0.0900,0.0200,0.0900,1.1200,-4.5900,4.7200
8892910,K00132.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,10.810132734,132.9515700,2454965.952,0,,0.9480,4.46180,,6.1652e+03,0.099512,0.18076,LS+MCMC,13.95,0.0993,84.76,985.0,222.68,10.375000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3029,0.3239,q1_q17_dr25_koi,94.3187900,734.3610000,806.50,1,129,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.02490,Mandel and Agol (2002 ApJ 580 171),,,008/008892/008892910/dv/kplr008892910-20160209194854_dvr.pdf,008/008892/008892910/dv/kplr008892910-001-20160209194854_dvs.pdf,6211.00,4.269,0.0000,1.2840,1.1140,,q1_q17_dr25_stellar,294.412450,45.130852,13.794,14.213,13.738,13.615,13.557,12.720,12.464,12.383,0.000,19.627496920,45.13078370,-0.01400,-0.23900,-1.800000e-04,1.590000e-03,0.0100,-0.1500,0.1500,0.0100,-0.2090,0.2090
8561063,K00961.03,Kepler-42 d,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,1.865114193,133.7923440,2454966.792,0,,0.7850,0.42790,,1.1248e+03,0.040715,64.04739,LS+MCMC,0.66,0.0151,88.02,455.0,10.10,22.800000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.4341,0.2646,q1_q17_dr25_koi,5.5075283,33.0967860,56.90,3,633,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.92960,Mandel and Agol (2002 ApJ 580 171),,,008/008561/008561063/dv/kplr008561063-20160209194854_dvr.pdf,008/008561/008561063/dv/kplr008561063-002-20160209194854_dvs.pdf,3292.00,5.215,-0.4200,0.1480,0.1320,,q1_q17_dr25_stellar,292.219060,44.619160,15.920,17.270,15.909,15.338,,12.177,11.685,11.465,0.005,19.481296000,44.61790900,0.99000,-4.50000,2.400000e-04,-2.500000e-04,-0.1200,-0.1000,0.1500,1.1000,-4.7700,4.8900
