pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
EPIC 201639576.01,EPIC 201639576,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,7.65553300000,,2.32800000,0.20769061,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K0,5114.00,0.751000,1.004000,-0.1440,[Fe/H],4.687000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m14.49s,166.0603718,+02d39m20.84s,2.6557881,495.70700000,14.6990000,12.5500000,14.4478000,2021-11-19,2021-12,2021-11-19
EPIC 201649426.01,EPIC 201649426,1,FALSE POSITIVE,Montet et al. 2015,1,0,Transit,2015,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,27.77038800000,,25.10000000,2.23927201,,,,,,,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4598.00,0.710000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h48m56.25s,177.2343917,+02d48m27.23s,2.8075643,252.38300000,13.5950000,10.9410000,13.2049000,2015-12-05,2016-01,2015-12-05
EPIC 201649426.01,EPIC 201649426,0,FALSE POSITIVE,Montet et al. 2015,1,0,Transit,2015,K2,Published Candidate,0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,27.77045000000,,32.79000000,2.92500000,,,,,,441.00,0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,5086.00,8.150000,,-0.1700,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h48m56.25s,177.2343917,+02d48m27.23s,2.8075643,252.38300000,13.5950000,10.9410000,13.2049000,2015-12-05,2015-08,2015-12-05
EPIC 201650711.01,EPIC 201650711,1,CANDIDATE,Adams et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,0.25966900000,,0.77000000,0.06900000,,,,,,,0,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,,4340.00,0.690000,,-0.8100,[Fe/H],4.250000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h28m10.65s,172.0443891,+02d49m36.23s,2.8267296,,12.9200000,9.3090000,,2016-06-09,2016-08,2016-06-09
EPIC 201650711.01,EPIC 201650711,0,CANDIDATE,Adams et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,0.25967056000,,0.74200000,0.06619681,,,,,,,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3982.00,0.590000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h28m10.65s,172.0443891,+02d49m36.23s,2.8267296,,12.9200000,9.3090000,,2015-12-05,2016-01,2015-12-05
EPIC 201650711.02,EPIC 201650711,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,5.54583000000,,0.44100000,0.03930000,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.340000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h28m10.65s,172.0443891,+02d49m36.23s,2.8267296,,12.9200000,9.3090000,,2019-09-05,2019-09,2019-09-05
EPIC 201654498.01,EPIC 201654498,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,18.45020000000,,2.52000000,0.22500000,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.717000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h26m04.24s,171.5176470,+02d53m12.44s,2.8867875,340.43300000,15.2300000,12.0400000,14.6214000,2019-09-05,2019-09,2019-09-05
EPIC 201663879.02,K2-319,1,CANDIDATE,Castro Gonz&aacute;lez et al. 2020,1,1,Transit,2020,K2,Published Candidate,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,35.62100000000,0.3501000000,1.89000000,0.16861480,,,,,,420.00,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,,5440.00,0.898000,0.954000,,,4.512000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m12.24s,166.8010058,+03d02m23.77s,3.0399357,209.07100000,12.2130000,10.2230000,11.9397000,2022-03-28,2020-12,2022-03-28
EPIC 201666578.01,EPIC 201666578,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,4.13330000000,,1.20000000,0.11000000,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.312000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h48m24.48s,177.1019945,+03d05m07.27s,3.0853526,114.67500000,16.2480000,11.9120000,15.3174000,2019-09-05,2019-09,2019-09-05
EPIC 201683540.01,EPIC 201683540,1,CANDIDATE,Vanderburg et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,1.96114690000,,5.93000000,0.52903916,,,,,,,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4166.00,0.640000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m51.57s,169.2148600,+03d21m50.01s,3.3638919,592.20400000,15.3550000,12.3470000,14.9824000,2015-12-05,2016-01,2015-12-05
