kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
9790806,K02035.01,Kepler-1066 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,1.931555460,131.7670800,2454964.767,0,,0.8610,1.61400,,5.0490e+02,0.023982,0.69233,LS+MCMC,2.25,0.0299,80.37,1290.0,655.43,5.150000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2291,0.4603,q1_q17_dr25_koi,8.1483970,69.9702150,8.60,1,552,1,q1_q17_dr25_tce,11111101110111011000000000000000,0.76100,Mandel and Agol (2002 ApJ 580 171),,,009/009790/009790806/dv/kplr009790806-20160209194854_dvr.pdf,009/009790/009790806/dv/kplr009790806-001-20160209194854_dvs.pdf,5461.00,4.552,0.1400,0.8580,0.9570,,q1_q17_dr25_stellar,298.866580,46.502239,13.007,13.530,12.964,12.782,12.722,11.783,11.403,11.362,0.177,19.924441500,46.50226500,0.13000,0.09000,-3.800000e-05,-4.300000e-05,-0.1070,-0.1190,0.1600,-0.0760,-0.1420,0.1610
6382217,K02036.01,Kepler-353 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9780,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.411003050,133.7985600,2454966.799,0,,0.9050,2.45530,,7.5560e+02,0.030498,0.57889,LS+MCMC,1.80,0.0665,85.99,472.0,11.71,12.940000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2107,0.5308,q1_q17_dr25_koi,4.5155106,23.1860450,27.60,2,162,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.44860,Mandel and Agol (2002 ApJ 580 171),,,006/006382/006382217/dv/kplr006382217-20160209194854_dvr.pdf,006/006382/006382217/dv/kplr006382217-001-20160209194854_dvs.pdf,3757.00,4.718,0.1800,0.5390,0.5520,,q1_q17_dr25_stellar,296.856630,41.758179,15.773,17.132,15.774,15.191,14.803,13.601,12.951,12.808,0.006,19.790438000,41.75812000,-0.16000,-0.23000,4.800000e-04,4.800000e-04,-0.1700,-0.3700,0.4100,-0.1700,-0.4700,0.5000
5375194,K01825.01,Kepler-964 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,13.522523640,142.1793200,2454975.179,0,,0.2160,3.98700,,6.9060e+02,0.023690,1.80501,LS+MCMC,2.11,0.1063,89.52,652.0,42.82,25.940000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1959,0.5086,q1_q17_dr25_koi,8.0754350,44.9959000,22.40,1,77,1,q1_q17_dr25_tce,11111011101110111000000000000000,0.55100,Mandel and Agol (2002 ApJ 580 171),,,005/005375/005375194/dv/kplr005375194-20160209194854_dvr.pdf,005/005375/005375194/dv/kplr005375194-001-20160209194854_dvs.pdf,5338.00,4.557,0.0000,0.8160,0.8750,,q1_q17_dr25_stellar,295.300080,40.556591,13.895,14.509,13.838,13.632,13.535,12.576,12.237,12.139,0.000,19.686674000,40.55649100,0.05000,-0.36000,-1.400000e-04,2.800000e-04,-0.0200,-0.0200,0.0200,-0.0900,-0.0300,0.1000
6468138,K01826.01,Kepler-965 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9870,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,134.252047400,182.7053400,2455015.705,0,,0.0010,9.06360,,8.3210e+02,0.026201,1.64351,LS+MCMC,3.43,0.5120,90.00,393.0,5.63,116.123000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2622,0.4035,q1_q17_dr25_koi,20.6106900,52.9100340,57.20,1,9,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.87760,Mandel and Agol (2002 ApJ 580 171),,,006/006468/006468138/dv/kplr006468138-20160209194854_dvr.pdf,006/006468/006468138/dv/kplr006468138-001-20160209194854_dvs.pdf,5818.00,4.276,0.0200,1.2000,0.9910,,q1_q17_dr25_stellar,298.515320,41.891201,13.350,13.762,13.304,13.173,13.125,12.298,11.979,11.910,0.115,19.901019500,41.89116300,-0.10000,-0.13000,9.000000e-05,2.500000e-04,0.2800,-0.1900,0.3400,0.2200,-0.3000,0.3800
10019708,K00199.01,Kepler-490 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9990,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.268695042,137.4817205,2454970.482,0,,0.0650,3.45188,,1.0091e+04,0.091563,0.87558,LS+MCMC,16.91,0.0453,89.53,1597.0,1539.00,7.907900,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2891,0.3589,q1_q17_dr25_koi,93.9289400,1341.4701000,1429.90,2,413,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.36670,Mandel and Agol (2002 ApJ 580 171),,,010/010019/010019708/dv/kplr010019708-20160209194854_dvr.pdf,010/010019/010019708/dv/kplr010019708-001-20160209194854_dvs.pdf,5927.00,4.046,0.1400,1.6910,1.1610,,q1_q17_dr25_stellar,295.025670,46.956001,14.879,15.248,14.817,14.720,14.710,13.819,13.502,13.469,0.000,19.668374910,46.95604190,-0.11380,0.15100,4.900000e-04,2.660000e-03,-0.0080,-0.0200,0.0210,-0.0480,-0.1100,0.1190
11875734,K01828.01,Kepler-966 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,99.746880400,208.3968800,2455041.397,0,,0.8280,6.80400,,1.2870e+03,0.037015,0.65013,LS+MCMC,3.94,0.3907,89.32,391.0,5.55,69.900000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2521,0.4210,q1_q17_dr25_koi,14.9798765,38.4394760,45.60,1,11,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.36250,Mandel and Agol (2002 ApJ 580 171),,,011/011875/011875734/dv/kplr011875734-20160209194854_dvr.pdf,011/011875/011875734/dv/kplr011875734-001-20160209194854_dvs.pdf,5620.00,4.363,-0.3200,0.9740,0.7970,,q1_q17_dr25_stellar,297.270570,50.121811,14.422,14.999,14.391,14.175,14.076,13.120,12.749,12.745,0.263,19.818064500,50.12194500,0.89000,0.49000,-5.800000e-04,1.000000e-05,-0.1500,-0.0900,0.1700,-0.1100,0.0120,0.1100
7697568,K01829.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,22.841562930,138.6320000,2454971.632,0,,1.2670,2.59970,,2.9407e+03,0.332581,0.77220,LS+MCMC,30.00,0.1499,87.38,557.0,22.78,27.700000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2396,0.4415,q1_q17_dr25_koi,10.7712740,47.5465770,47.60,2,57,1,q1_q17_dr25_tce,01111111111111111000000000000000,0.93820,Mandel and Agol (2002 ApJ 580 171),,,007/007697/007697568/dv/kplr007697568-20160209194854_dvr.pdf,007/007697/007697568/dv/kplr007697568-001-20160209194854_dvs.pdf,5381.00,4.538,-0.0600,0.8260,0.8580,,q1_q17_dr25_stellar,296.522430,43.363369,15.911,16.591,15.841,15.620,15.448,14.437,14.033,13.865,0.002,19.768161100,43.36346800,-0.04000,0.35000,5.300000e-04,-1.270000e-03,0.1500,-0.0800,0.1700,0.1000,-0.2100,0.2300
7046804,K00205.01,Kepler-492 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9980,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,11.720123999,142.1739990,2454975.174,0,,0.6230,3.00390,,9.7633e+03,0.094404,2.65963,LS+MCMC,7.94,0.0935,88.67,660.0,44.89,26.830000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2075,0.4900,q1_q17_dr25_koi,100.1043600,749.6936600,707.30,1,111,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.35530,Mandel and Agol (2002 ApJ 580 171),,,007/007046/007046804/dv/kplr007046804-20160209194854_dvr.pdf,007/007046/007046804/dv/kplr007046804-001-20160209194854_dvs.pdf,5215.00,4.564,-0.1600,0.7700,0.7920,,q1_q17_dr25_stellar,295.496670,42.537891,14.518,15.192,14.471,14.228,14.118,13.095,12.709,12.656,0.000,19.699781160,42.53793410,0.15300,0.15900,2.980000e-03,-1.330000e-03,-0.0170,-0.0060,0.0180,0.0840,0.1620,0.1820
7449136,K01890.01,Kepler-1002 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.336435060,133.8544200,2454966.854,0,,0.6410,4.14450,,1.0850e+02,0.010024,0.24998,LS+MCMC,1.75,0.0564,84.15,1453.0,1054.56,6.290000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3052,0.3236,q1_q17_dr25_koi,6.2308080,43.7798420,48.00,1,312,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.08180,Mandel and Agol (2002 ApJ 580 171),,,007/007449/007449136/dv/kplr007449136-20160209194854_dvr.pdf,007/007449/007449136/dv/kplr007449136-001-20160209194854_dvs.pdf,6180.00,4.133,0.1200,1.6030,1.2750,,q1_q17_dr25_stellar,293.079500,43.073711,11.704,12.051,11.642,11.555,11.535,10.689,10.449,10.374,0.153,19.538645500,43.07369300,0.48000,-0.06000,2.600000e-05,1.100000e-05,-0.0500,0.0800,0.0900,-0.0800,0.0400,0.0900
8680979,K01891.01,Kepler-330 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,15.955419130,143.3023600,2454976.302,0,,0.3140,3.98510,,7.6260e+02,0.024767,1.97492,LS+MCMC,2.18,0.1140,89.40,573.0,25.54,29.840000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1451,0.5820,q1_q17_dr25_koi,5.8266616,30.4979550,39.00,2,82,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.19540,Mandel and Agol (2002 ApJ 580 171),,,008/008680/008680979/dv/kplr008680979-20160209194854_dvr.pdf,008/008680/008680979/dv/kplr008680979-001-20160209194854_dvs.pdf,4891.00,4.516,0.1600,0.8050,0.7760,,q1_q17_dr25_stellar,288.447390,44.801682,15.261,15.970,15.199,14.957,14.829,13.860,13.315,13.259,0.001,19.229820700,44.80192000,-0.18000,0.87000,8.000000e-05,-5.900000e-04,-0.3900,-0.0200,0.3900,-0.2800,-0.0600,0.2800
